word,lookups,usage,book,authors
trachtte,3,Koos trachtte het tij te keren door zich te richten op de exploitatie van balata. ,Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
trachtte,3,"In Suriname trok ze de laatste rek uit de toch al zieltogende economie en de laatste hoop uit zijn bewoners, in Nederland sloeg ze toe als onweer na een mooie zomerdag, de ene onverwachte klap na de andere uitdelend terwijl iedereen zich huiverend in veiligheid trachtte te brengen. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
uitsluitend,3,"Soms durf je daardoor alleen slimme of keurige vragen te stellen, misschien zelfs uitsluitend rédelijke vragen. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
uitsluitend,3,"Hij ging een jaar naar Australië om rond te reizen, maar bleef uitsluitend in Sydney. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
uitsluitend,3,"Ik maakte uitsluitend oogcontact met haar, en wandelde daarna met gebogen hoofd de kerk uit. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vangrail,3,"‘Ze was toch beter met haar auto in de vangrail gereden,’ dat zei Herman, die met Marie op bezoek kwam meteen nadat ze ’t nieuws hadden gehoord. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
vangrail,3,"Ik zag voor me hoe we over de vangrail kieperden, of aangereden zouden worden. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vangrail,3,"Ik zie het als mijn vangrail, eigenlijk.’ ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vegen,3,Jef de Troyer is zo’n man met eeuwig roos op zijn revers en geen vrouw of secretaresse om het weg te vegen. ,Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
vegen,3,"De straten en stoepen leken met een liniaal getrokken, en – dat was misschien nog wel het merkwaardigste – blanke mensen deden hier werk waar in Suriname zelfs een kleurling nog zijn neus voor ophaalde, zoals het ophalen van vuilnis en het vegen van de straat. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
vegen,3,Dit houdt in dat ik goed een vloer kan vegen en kan stofzuigen met een bezemmachine. ,De getemde man,Babah Tarawally
vergankelijkheid,3,ngen die ik haar heb zien proberen: 1_Medicatie afbouwen 2_Stoppen met roken 3_Stoppen met het snoep dat ze na haar rookstop was gaan eten 4_Stoppen met de ggz-dagbesteding 5_Beginnen met de ggz-dagbesteding 6_Tennissen 7_Tuinieren 8_Een liefdesrelatie 9_Een vakantie naar Spanje 10_Het huis herinrichten 11_Boeken lezen over mensen die succesvol uit hun depressie waren gekomen door één ding drastisch te veranderen (vaak: beginnen met fietsen) Na de scheiding van mijn ouders werd ik me bewust van het concept ‘vergankelijkheid’. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vergankelijkheid,3,Ze deed het met zo veel overtuiging dat ik haar vergankelijkheid was vergeten. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vergankelijkheid,3,"Ik greep de fles Andrélon van zijn plank, klaar om de vergankelijkheid van dat spul uit te vogelen. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vergezeld,3,"Wat de kinderen niet wisten – het is zelfs de vraag of Eugenie ervan op de hoogte was – was dat hij op zijn reis naar Rio de Janeiro vergezeld werd door een zeventien jaar jongere dame, met wie hij al in Paramaribo in het huwelijk was getreden. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
vergezeld,3,Het balkon werd vergezeld door drie plastic stoelen en een wasrek. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
vergezeld,3,Ze werd vergezeld door mijn twee neven die net geboren waren voor mijn vertrek naar Europa. ,De getemde man,Babah Tarawally
verkondigde,3,"Ik weet niet meer wat mijn vader verkondigde, maar ik weet wel dat ik het niet begreep. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
verkondigde,3,"Toen de zangdocent me zag, verkondigde ze dat ze me niet had verwacht. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
verkondigde,3,"Ik zei wel dingen als: ‘Ja, ik mis haar heel erg’ of: ‘Het is vreselijk wat er met mijn moeder is gebeurd’, maar ik voelde weinig wanneer ik dat verkondigde. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
verloren,3,"In de entree voelde ze zich plotseling wat verloren, als een onnozel kind. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
verloren,3,"Hij zegt dat hij zich totaal verloren voelt, en dat hij dringend gezonder wil gaan eten, ook. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
verloren,3,Een beetje verloren liep hij rond. ,Minoes (Dutch Edition),"Schmidt, Annie M.G."
vernederd,3,"Wie zwak is, wordt vernederd, getreiterd, afgeperst, misbruikt. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
vernederd,3,Zeer vernederd kwam de koning naakt tevoorschijn. ,De getemde man,Babah Tarawally
vernederd,3,Hij voelde zich vernederd en zijn wereld stond op zijn kop. ,De getemde man,Babah Tarawally
verontschuldigend,3,"Hij had het heel plechtig willen laten klinken, maar zijn stem trilde zo erg dat hij er verontschuldigend bij glimlachte. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
verontschuldigend,3,"Ik bedoel het charmant verontschuldigend, besef hoe fout het kan klinken, plak er nog wat woorden achteraan die het erger maken. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
verontschuldigend,3,"Ben glimlacht verontschuldigend, en gaat de spulletjes bij elkaar rapen. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
berucht,1,"Het was een berucht restaurant, omdat Frans Bauer – met stip de bekendste inwoner – de zaak in elk mogelijk programma de hemel in prees. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
beruchte,1,"Hij was schrander en leergierig, maar als zwarte jongen was er voor hem toch geen ander toekomstperspectief weggelegd dan de beruchte, van zwartwaterkoortsen en malaria vergeven ‘Groene Hel’. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
berusting,1,Dit klinkt als volledige berusting.’ ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
beschaafd,1,"Hoe langer Waldemar in Nederland was, hoe meer hij zich terugtrok in de rol van perfecte gentleman, beschaafd tot in zijn vingertoppen, keuriger dan keurig, blanker dan blank. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
beschermen,1,"Want weer was het november, en wachtte hem een winter waarvoor hij noch de kleding, noch het karakter bezat om zich er goed tegen te kunnen beschermen. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
beschermheren,1,"Sindsdien hadden de Elder-vrouwen hun beschermheren generatie op generatie zorgvuldig uitgezocht en hun bloedlijn praktisch blank gemaakt – ‘opgekleurd’, zoals dat heette. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
beschoren,1,"Hun liefde leek echter weinig toekomst beschoren, want Willems vader was een protestantse hoofdonderwijzer die een diepe afkeer koesterde jegens alles wat paaps was. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
bespreekbaar,1,Een probleem maak je bespreekbaar. ,De getemde man,Babah Tarawally
bestand,1,Ze waren alleen niet bestand tegen de verdeel-en-heerstactiek van mijn vader die hij toepaste om de eenheid tussen hen te verstoren zodat hij de absolute macht kon behouden. ,De getemde man,Babah Tarawally
bestek,1,"‘Jullie zijn er vroeg bij,’ zei een ober die het bestek aan het klaarleggen was. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
toen,1,"Onze tuin werd gebruikt toen er een klassenfeest voor mijn brugklas georganiseerd moest worden, waardoor mijn ouders moesten toezien hoe een groep van dertienjarigen stond te ‘schuren’. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
Toen,1,Toen heeft ze mij aangekeken. ,Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
toeren,1,Je moet in deze landen veel toeren maken voordat je kunt overschakelen naar seks. ,De getemde man,Babah Tarawally
toeschouwer,1,Hij lijkt op een toeschouwer. ,De getemde man,Babah Tarawally
toestemmen,1,Want niets zeggen stond gelijk aan toestemmen. ,De getemde man,Babah Tarawally
toestemming,1,"Toen Door in ons leven kwam, was de periode van toestemming voorbij. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
toetje,1,"Luna zag het ook ‘aan mijn toetje’, zei ze later.) ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
toetsen,1,"Als ik mijn gedachten of acties wilde toetsen, wist ik wie ik moest bellen. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
toevlucht,1,"Moe ook van de familie bij wie ze haar toevlucht zocht, maar die haar onomwonden duidelijk maakte dat wat God verenigd had niet gescheiden mocht worden, en zeker niet door iemand die – en hier werd veelbetekenend gekeken – toch echt zelf het bed had opgemaakt waaruit ze nu zo verwoed probeerde te ontsnappen. ",Sonny Boy - Annejet van der Zijl,Annejet van der Zijl
toevluchtsoord,1,Achteraf gezien was Utrecht eerder een toevluchtsoord dan een thuis in dat eerste jaar. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
toewijding,1,"‘Maar dit diploma is het resultaat van wilskracht, toewijding en het vermogen om ingrijpende gebeurtenissen te overwinnen.’ ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
uitstappen,1,Daar uitstappen is bijna onmogelijk. ,De getemde man,Babah Tarawally
uitsteken,1,Hij wilde blijkbaar enkel onze mening of ons de ogen uitsteken omdat wij deze schoenen zelf nooit zouden kunnen betalen. ,De getemde man,Babah Tarawally
uitvergroot,1,Daarbij wil ik ook een kleine kanttekening maken: in verband met privacy heb ik hun namen in dit boek verzonnen en hun karakter uitvergroot. ,De getemde man,Babah Tarawally
uitwisselen,1,"‘Seks is slechts het uitwisselen van lichaamsvocht,’ zegt Medoski. ",De getemde man,Babah Tarawally
vaardig,1,Ik kon makkelijk met mijn leven verder terwijl mijn vrouw vaardig door het leven navigeerde ondanks de beperkingen die de natuur haar had gegeven. ,De getemde man,Babah Tarawally
vacht,1,Mijn broers en ik mochten met kleine mesjes de vacht van het schaap weghalen. ,De getemde man,Babah Tarawally
val,1,Ik wist dat het een val was. ,De getemde man,Babah Tarawally
